"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA64185";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-13";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA10877";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus thuringiensis";"Bacillus thuringiensis konkukian sv. H34 97-27";"Pathogen";"Agricultural, Biotechnological, Insect Pathogen";"Sotto disease";"Homo sapiens";"Human";"Host, Soil";"WFO-LANL Proposal";TRUE;TRUE
"PRJNA19413";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma parvum";"Ureaplasma parvum sv. 6";"Pathogen";"Human Pathogen, Medical";"Respiratory infection, Urinary tract infection";"Homo sapiens";"Human";"Host";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA72667";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis Nm1140";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Human";"Host";"Neisseria meningitidis Nm1140";TRUE;TRUE
"PRJNA89681";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa CIG1";"Opportunistic Pathogen";"Medical";"Opportunistic infection";"Homo sapiens";"Human";"";"Strain-dependent diversity in the Pseudomonas aeruginosa quorum-sensing regulon";TRUE;TRUE
"PRJEB4003";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Janthinobacterium";"Janthinobacterium agaricidamnosum";"Janthinobacterium agaricidamnosum W1R3";"";"Medical, Pathogen";"Soft rot";"";"";"Host, Human, Plant";"Complete genome of the soft rot mushroom pathogen Janthinobacterium agaricidamnosum";TRUE;TRUE
"PRJNA31017";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter rectus";"Campylobacter rectus RM3267, CCUG 20446";"Pathogen";"Human Microbiome Project (HMP), Medical";"Periodontitis";"Homo sapiens";"Human";"Gingival crevices, Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA32187";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis sv. F 70";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Urogenital infection";"Homo sapiens";"";"Host";"Chlamydia trachomatis sv F, 70";TRUE;TRUE
"PRJNA16265";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter jejuni";"Campylobacter jejuni jejuni CF93-6";"Food poisoning, Pathogen";"Animal Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Food poisoning";"Homo sapiens";"Human";"Host, Wastewater";"Campylobacter jejuni project - TIGR";TRUE;TRUE
"PRJNA10638";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis bv. Microtus 91001 (re-annotation)";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic plague";"Homo sapiens";"";"Host";"Yersinia pestis bv Microtus 91001";TRUE;TRUE
"PRJEB4971";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bartonellaceae";"Bartonella";"Bartonella henselae";"Bartonella henselae BM1374163";"";"Medical, Pathogen";"Bartonellosis";"Homo Sapiens";"";"Host, Human blood";"Genome of Bartonella henselae BM1374163";TRUE;TRUE
"PRJNA39531";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus C160";"Meticillin resistant, Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Comparative analysis of Staphylococcus aureus";TRUE;TRUE
"PRJNA29653";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus MM3";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Food production";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA25";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Bordetella";"Bordetella parapertussis";"Bordetella parapertussis 12822";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Respiratory infection";"Homo sapiens";"Human";"Host";"Bordetella parapertussis 12822";TRUE;TRUE
"PRJNA50993";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC9C";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA63489";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli cloneA_i1";"Pathogen";"Human Pathogen, Medical";"Diarrhea";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli cloneA_i1";TRUE;TRUE
"PRJNA9636";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Rickettsia";"Rickettsia rickettsii";"Rickettsia rickettsii Sheila Smith";"Pathogen";"Human Pathogen, Medical";"Rocky Mountain Spotted Fever";"Homo sapiens";"Human";"Host";"Rickettsia rickettsii Sheila Smith";TRUE;TRUE
"PRJNA29689";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus F65185";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Human";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA61919";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii D1279779";"Pathogen";"Medical";"Nosocomial infection, Pneumonia";"";"";"Fresh water, Host, Human skin, Skin";"Acinetobacter baumannii D1279779";TRUE;TRUE
"PRJNA17341";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter jejuni";"Campylobacter jejuni jejuni sv. 23/36 81-176";"Food poisoning, Pathogen";"Human Pathogen, Medical";"Diarrhea, Food poisoning, Gastroenteritis";"Homo sapiens";"Food production";"Animal feces, Feces, Gastrointestinal tract, Host, Wastewater";"Campylobacter jejuni jejuni 81-176";TRUE;TRUE
"PRJNA36509";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella abortus";"Brucella abortus bv. 5 B3196";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Spontaneous abortion";"Homo sapiens";"Mammals";"Host";"Brucella Genome Sequencing";TRUE;TRUE
"PRJNA72099";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-278";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA13885";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis sv. A HAR-13";"Obligate intracellular parasite, Parasite, Pathogen";"Human Pathogen, Medical";"Bronchitis, Pharyngitis, Pneumonia";"Homo sapiens";"Mammals";"Host";"Chlamydia trachomatis A/HAR-13";TRUE;TRUE
"PRJNA32917";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecalis";"Enterococcus faecalis T2, Sapporo-603";"";"Medical";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"Animal";"Host";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA65057";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Australis LT2148";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA51989";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo IA_2010008287";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo IA_2010008287";TRUE;TRUE
"PRJNA63853";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1032(5)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA64197";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-26";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA16421";"Proteobacteria";"Gammaproteobacteria";"Thiotrichales";"Francisellaceae";"Francisella";"Francisella tularensis";"Francisella tularensis holarctica LVS";"Pathogen";"Biothreat, Human Pathogen, Medical";"Tularemia";"Homo sapiens";"Unclassified";"Fresh water, Host";"Francisella tularensis holarctica LVS";TRUE;TRUE
"PRJNA62779";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia multivorans";"Burkholderia multivorans CF2";"Pathogen";"Human Pathogen, Medical";"Opportunistic infection";"Homo sapiens";"Animal";"Host";"Burkholderia multivorans CF2";TRUE;TRUE
"PRJNA18743";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";"Legionella pneumophila";"Legionella pneumophila sv. 1 2300/99 Alcoy";"Pathogen";"Human Pathogen, Medical";"Legionnaire's disease";"Homo sapiens";"Human";"Biofilm, Fresh water, Host, Soil";"Legionella pneumophila 2300/99 Alcoy";TRUE;TRUE
"PRJNA53835";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CO-85";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA13126";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";"Legionella pneumophila";"Legionella pneumophila sv. 1 Lens";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Legionellosis";"Homo sapiens";"Human";"Biofilm, Fresh water, Host, Soil";"Legionella genome sequencing - Institut Pasteur";TRUE;TRUE
"PRJNA30397";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori B128";"Pathogen";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Animal";"Host, Human stomach";"Helicobacter pylori B128";TRUE;TRUE
"PRJNA61797";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus suis";"Streptococcus suis sv. JS14";"Pathogen";"Animal Pathogen, Human Pathogen, Medical, Swine Pathogen";"Arthritis, Endocarditis, Meningitis, Septicemia";"Homo sapiens";"";"Host";"Streptococcus suis JS14";TRUE;TRUE
"PRJNA63785";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2933";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA38331";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella veroralis";"Prevotella veroralis F0319";"";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Oral infection, Periodontal infection";"Homo sapiens";"Human";"Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA49779";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 5SM3";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 5SM3";TRUE;TRUE
"PRJNA50951";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC5C";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA23";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria gonorrhoeae";"Neisseria gonorrhoeae FA 1090 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Gonorrhea";"Homo sapiens";"Human";"Host";"Neisseria gonorrhoeae FA 1090";TRUE;TRUE
"PRJNA47105";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli 75";"Pathogen";"Animal Pathogen, Medical";"Diarrhea";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli genome sequencing project - Cornell University";TRUE;TRUE
"PRJNA17319";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes Finland 1988";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Food poisoning, Listeriosis";"Homo sapiens";"Food production";"Food, Fresh water, Host, Intestinal tract, Soil";"Food borne pathogen- Broad institute";TRUE;TRUE
"PRJNA65067";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Grippotyphosa LT2186";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA20405";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma urealyticum";"Ureaplasma urealyticum sv. 13 U38";"Pathogen";"Human Pathogen, Medical";"Chorioamnioitis, Infertility, Non-specific urethritis (NSU)";"Homo sapiens";"Human";"Host, Urogenital tract";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA89095";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Cronobacter";"Cronobacter sakazakii";"Cronobacter sakazakii E764";"Opportunistic Pathogen";"Medical";"";"Homo sapiens";"Unclassified";"Host";"Cronobacter sakazakii E764";TRUE;TRUE
"PRJNA399";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides thetaiotaomicron";"Bacteroides thetaiotaomicron VPI-5482 (re-annotation)";"Pathogen";"Medical";"Peritonitis";"Homo sapiens";"Animal";"Feces, Gastrointestinal tract, Host, Intestinal tract";"Bacteroides thetaiotaomicron VPI-5482";TRUE;TRUE
"PRJNA48689";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA11856";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA29697";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus AH1272";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Animal";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA64249";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-25c";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA50803";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SPN021198";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host";"Streptococcus pneumoniae SPN strains, WTSI";TRUE;TRUE
"PRJNA12417";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus suis";"Streptococcus suis 89/1591";"Pathogen";"Animal Pathogen, Human Pathogen, Medical, Swine Pathogen";"Arthritis, Endocarditis, Meningitis, Septicemia";"Homo sapiens";"Human";"Host";"Streptococcus suis 89/1591";TRUE;TRUE
"PRJNA38161";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia muridarum";"Chlamydia muridarum Weiss";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Bronchitis, Pharyngitis, Pneumonia, Respiratory infection";"Homo sapiens";"Human";"Host";"Chlamydia muridarum Weiss";TRUE;TRUE
"PRJDA28997";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans sv. C NN2025";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans NN2025";TRUE;TRUE
"PRJNA63835";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium bovis";"Mycobacterium bovis BCG-Denmark TMC 1010, ATCC 35733";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Mammals";"Host";"Mycobacterium bovis vaccine strains";TRUE;TRUE
"PRJNA34867";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecium";"Enterococcus faecium C68";"Pathogen";"Human Pathogen, Medical";"Nocosomial infection, Opportunistic infection";"Homo sapiens";"";"Host, Wastewater";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA360";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio parahaemolyticus";"Vibrio parahaemolyticus sv. O3:K6 RIMD 2210633 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Gastroenteritis";"Homo sapiens";"Unclassified";"Fresh water, Host";"Vibrio parahaemolyticus RIMD 2210633";TRUE;TRUE
"PRJNA86439";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae 1003A";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA63983";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-80A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA46869";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Moraxella";"Moraxella catarrhalis";"Moraxella catarrhalis RH4";"Pathogen";"Fish Pathogen, Medical, Vaccine development";"Furunculosis, Otitis media, Sinusitis";"Homo sapiens";"Human";"Host";"Moraxella catarrhalis RH4";TRUE;TRUE
"PRJNA86325";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae BSU108";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA39125";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus";"Haemophilus influenzae";"Haemophilus influenzae NT127";"Pathogen";"Human Pathogen, Medical";"Chronic bronchitis, Meningitis, Otitis media, Septicemia, Sinusitis";"Homo sapiens";"";"Host";"Haemophilus influenzae NT127";TRUE;TRUE
"PRJNA86579";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00929";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
